Experiment	Sector	Variable	GTAPVar	Description	Unit	Value	Type
ExB15	Svces	pmwcom	pmwcom	pmwcom	pmwcom	-0.119081154465675	tms changes
ExB15	Food	pw	pw	pw	pw	1.62687242031097	TOTAL
ExB15	Food	pw	pw	pw	pw	0.428026497364044	to changes
ExB15	Food	pw	pw	pw	pw	1.1766711473465	txs changes
ExB15	Food	pw	pw	pw	pw	0.0222040843218565	tms changes
ExB15	Mnfcs	pw	pw	pw	pw	-0.0110715925693512	TOTAL
ExB15	Mnfcs	pw	pw	pw	pw	0.00886170286685228	to changes
ExB15	Mnfcs	pw	pw	pw	pw	0.00697964336723089	txs changes
ExB15	Mnfcs	pw	pw	pw	pw	-0.0269129481166601	tms changes
ExB15	Svces	pw	pw	pw	pw	-0.0530196577310562	TOTAL
ExB15	Svces	pw	pw	pw	pw	0.00644472381100059	to changes
ExB15	Svces	pw	pw	pw	pw	-0.0145160630345345	txs changes
ExB15	Svces	pw	pw	pw	pw	-0.0449483096599579	tms changes
ExB15	Food	pwu	pwu	pwu	pwu	0.650450468063354	TOTAL
ExB15	Food	pwu	pwu	pwu	pwu	0.420213043689728	to changes
ExB15	Food	pwu	pwu	pwu	pwu	0.462567627429962	txs changes
ExB15	Food	pwu	pwu	pwu	pwu	-0.232330188155174	tms changes
ExB15	Mnfcs	pwu	pwu	pwu	pwu	-0.0104607744142413	TOTAL
ExB15	Mnfcs	pwu	pwu	pwu	pwu	0.0107752215117216	to changes
ExB15	Mnfcs	pwu	pwu	pwu	pwu	0.00849592592567205	txs changes
ExB15	Mnfcs	pwu	pwu	pwu	pwu	-0.0297319237142801	tms changes
ExB15	Svces	pwu	pwu	pwu	pwu	-0.0631610751152039	TOTAL
ExB15	Svces	pwu	pwu	pwu	pwu	0.0068654059432447	to changes
ExB15	Svces	pwu	pwu	pwu	pwu	-0.0169161893427372	txs changes
ExB15	Svces	pwu	pwu	pwu	pwu	-0.0531102791428566	tms changes
ExB15	Food	pxwcom	pxwcom	pxwcom	pxwcom	2.19760489463806	TOTAL
ExB15	Food	pxwcom	pxwcom	pxwcom	pxwcom	0.714606285095215	to changes
ExB15	Food	pxwcom	pxwcom	pxwcom	pxwcom	1.77871978282928	txs changes
ExB15	Food	pxwcom	pxwcom	pxwcom	pxwcom	-0.295720905065536	tms changes
ExB15	Mnfcs	pxwcom	pxwcom	pxwcom	pxwcom	-0.130090817809105	TOTAL
ExB15	Mnfcs	pxwcom	pxwcom	pxwcom	pxwcom	-0.00270487344823778	to changes
ExB15	Mnfcs	pxwcom	pxwcom	pxwcom	pxwcom	-0.0346826389431953	txs changes
ExB15	Mnfcs	pxwcom	pxwcom	pxwcom	pxwcom	-0.0927033051848412	tms changes
