Experiment	Region	Variable	GTAPVar	Description	Unit	Value	Type
ExB14	SSA	qxwreg	qxwreg	qxwreg	qxwreg	0.0594060085713863	TOTAL
ExB14	EU	qxwreg	qxwreg	qxwreg	qxwreg	0.195624023675919	TOTAL
ExB14	ROW	qxwreg	qxwreg	qxwreg	qxwreg	-0.0306014269590378	TOTAL
ExB14	SSA	rental	rental	rental	rental	1.10852444171906	TOTAL
ExB14	EU	rental	rental	rental	rental	-0.918998122215271	TOTAL
ExB14	ROW	rental	rental	rental	rental	0.307435154914856	TOTAL
ExB14	SSA	rorc	rorc	rorc	rorc	0.293435603380203	TOTAL
ExB14	EU	rorc	rorc	rorc	rorc	-0.321505606174469	TOTAL
ExB14	ROW	rorc	rorc	rorc	rorc	0.0655127763748169	TOTAL
ExB14	SSA	rore	rore	rore	rore	0.287185728549957	TOTAL
ExB14	EU	rore	rore	rore	rore	-0.331270843744278	TOTAL
ExB14	ROW	rore	rore	rore	rore	0.0483802445232868	TOTAL
ExB14	SSA	tot	tot	tot	tot	0.671403586864471	TOTAL
ExB14	EU	tot	tot	tot	tot	-0.08230921626091	TOTAL
ExB14	ROW	tot	tot	tot	tot	0.0512461513280869	TOTAL
ExB14	SSA	tot2	tot2	tot2	tot2	0.671403467655182	TOTAL
ExB14	EU	tot2	tot2	tot2	tot2	-0.0823091343045235	TOTAL
ExB14	ROW	tot2	tot2	tot2	tot2	0.0512460879981518	TOTAL
ExB14	SSA	tpreg	tpreg	tpreg	tpreg	0	TOTAL
ExB14	EU	tpreg	tpreg	tpreg	tpreg	0	TOTAL
ExB14	ROW	tpreg	tpreg	tpreg	tpreg	0	TOTAL
ExB14	SSA	u	u	u	u	0.189903825521469	TOTAL
ExB14	EU	u	u	u	u	0.0868183448910713	TOTAL
ExB14	ROW	u	u	u	u	-0.0164494384080172	TOTAL
ExB14	SSA	uelas	uelas	uelas	uelas	-0.0879524275660515	TOTAL
ExB14	EU	uelas	uelas	uelas	uelas	0.0102264443412423	TOTAL
ExB14	ROW	uelas	uelas	uelas	uelas	-0.0284196119755507	TOTAL
ExB14	SSA	uelasev	uelasev	uelasev	uelasev	0.00396733544766903	TOTAL
ExB14	EU	uelasev	uelasev	uelasev	uelasev	0.00173098780214787	TOTAL
ExB14	ROW	uelasev	uelasev	uelasev	uelasev	-0.000302258675219491	TOTAL
ExB14	SSA	uepriv	uepriv	uepriv	uepriv	-0.11381821334362	TOTAL
ExB14	EU	uepriv	uepriv	uepriv	uepriv	0.0147658633068204	TOTAL
ExB14	ROW	uepriv	uepriv	uepriv	uepriv	-0.039356242865324	TOTAL
ExB14	SSA	ueprivev	ueprivev	ueprivev	ueprivev	0.00513459090143442	TOTAL
ExB14	EU	ueprivev	ueprivev	ueprivev	ueprivev	0.00249926652759314	TOTAL
ExB14	ROW	ueprivev	ueprivev	ueprivev	ueprivev	-0.000418608746258542	TOTAL
ExB14	SSA	ug	ug	ug	ug	0.335330337285995	TOTAL
ExB14	EU	ug	ug	ug	ug	0.124724842607975	TOTAL
