"Experiment","Sector","Type","Variable","GTAPVar","Description","Unit","Value","Region"
"ExB14","Mnfcs","TOTAL","pid","pid","pid","pid",0.264348775148392,"ROW"
"ExB14","Svces","TOTAL","pid","pid","pid","pid",1.3361599445343,"SSA"
"ExB14","Svces","TOTAL","pid","pid","pid","pid",-0.831752836704254,"EU"
"ExB14","Svces","TOTAL","pid","pid","pid","pid",0.304490089416504,"ROW"
"ExB14","Food","TOTAL","pim","pim","pim","pim",8.26831817626953,"SSA"
"ExB14","Food","TOTAL","pim","pim","pim","pim",-4.35811328887939,"EU"
"ExB14","Food","TOTAL","pim","pim","pim","pim",3.64217853546143,"ROW"
"ExB14","Mnfcs","TOTAL","pim","pim","pim","pim",-0.170815855264664,"SSA"
"ExB14","Mnfcs","TOTAL","pim","pim","pim","pim",-0.358090460300446,"EU"
"ExB14","Mnfcs","TOTAL","pim","pim","pim","pim",0.0145800830796361,"ROW"
"ExB14","Svces","TOTAL","pim","pim","pim","pim",-0.196932315826416,"SSA"
"ExB14","Svces","TOTAL","pim","pim","pim","pim",-0.317950844764709,"EU"
"ExB14","Svces","TOTAL","pim","pim","pim","pim",-0.0829831883311272,"ROW"
"ExB14","Food","TOTAL","pint","pint","pint","pint",2.01166820526123,"SSA"
"ExB14","Food","TOTAL","pint","pint","pint","pint",-0.973377168178558,"EU"
"ExB14","Food","TOTAL","pint","pint","pint","pint",0.80867737531662,"ROW"
"ExB14","Mnfcs","TOTAL","pint","pint","pint","pint",0.917082190513611,"SSA"
"ExB14","Mnfcs","TOTAL","pint","pint","pint","pint",-0.692128300666809,"EU"
"ExB14","Mnfcs","TOTAL","pint","pint","pint","pint",0.258204013109207,"ROW"
"ExB14","Svces","TOTAL","pint","pint","pint","pint",1.04812860488892,"SSA"
"ExB14","Svces","TOTAL","pint","pint","pint","pint",-0.776275992393494,"EU"
"ExB14","Svces","TOTAL","pint","pint","pint","pint",0.303946256637573,"ROW"
"ExB14","Food","TOTAL","pm_cr","pm_cr","pm_cr","pm_cr",9.44362354278564,"SSA"
"ExB14","Food","TOTAL","pm_cr","pm_cr","pm_cr","pm_cr",0.212170869112015,"EU"
"ExB14","Food","TOTAL","pm_cr","pm_cr","pm_cr","pm_cr",4.17013788223267,"ROW"
"ExB14","Mnfcs","TOTAL","pm_cr","pm_cr","pm_cr","pm_cr",-0.188694357872009,"SSA"
"ExB14","Mnfcs","TOTAL","pm_cr","pm_cr","pm_cr","pm_cr",-0.379294276237488,"EU"
